,Unnamed: 0,category,text
5015,5015,FOOD#POSITIVE,"There are so many options to choose from, whatever you like, you have a good chance of finding it here."
1546,1546,LOCATION#NEGATIVE,"To save a little time, we opted to sit outside in the 110 degree Vegas weather on their little patio area."
6613,6613,QUALITY#NEGATIVE,"MISSES
- Risotto: one bite was enough for me."
12197,1289,FOOD#POSITIVE,I really loved the different and inovated touch that's the cheff gives to the food.
2583,2583,LOCATION#POSITIVE,The view of the Bellagio fountain from this place is really nice.
7865,7865,FOOD#NEGATIVE,"It really is quite a simple creation that has a different name people aren't familiar with (outside of the Yelp praise), and thus they mistakenly value it higher than any other chain which could easily supplant it."
7289,7289,SERVICE#NEGATIVE,"If you are looking for $200 beef jerky and to be treated like crap upon check in you should make a ""reservation"" for this place."
2035,2035,LOCATION#POSITIVE,"Good view of the fountains at Bellagio, even if you sit inside, it's like an atrium so you dont feel stifled."
8991,8991,RESTAURANT#POSITIVE,"If you are near the Eiffel Tower, I would highly recommend this restaurant."
7709,7709,FOOD#NEGATIVE,I was very disappointed and unimpressed with both he presentation and quality.
1733,1733,LOCATION#NEGATIVE,"I give it 4 stars, minus 1 for the location and the noise factor."
1593,1593,LOCATION#NEGATIVE,Very bad location especially at night.
1071,1071,PRICE#NEGATIVE,"Prices are cheap, service is cool and the place is opened 24\/7...
How could you complain?"
10294,10294,QUALITY#POSITIVE,Bc once you get your meal it's a feast of home cooked comfort food overload.
809,809,SERVICE#POSITIVE,"Server Ishii was cool and quick-paced in the beginning, but attitude improved as the meal progressed."
9438,9438,RESTAURANT#POSITIVE,"So if you want to try something new, try the Buffet at Bellagio and you will be pleasantly surprised because you never know what they'll be serving"
3541,3541,FOOD#POSITIVE,Both dishes were so good.
2417,2417,LOCATION#POSITIVE,The place is clean.
3561,3561,FOOD#POSITIVE,At least you'll get quality and lots of yummy choices
7527,7527,SERVICE#NEGATIVE,Staff came to clear table and we had to ask for our check.
5607,5607,PRICE#POSITIVE,"At $16 per person for the breakfast\/brunch, I thought this buffet was a bargain for a Vegas Strip eatery."
12485,1586,QUALITY#POSITIVE,Baluchi's has solid food and a nice decor at reasonable prices.
6838,6838,SERVICE#NEGATIVE,"3.5 stars - food is good but service is spotty

We are here for a conference and took a customer for lunch."
10037,10037,QUALITY#POSITIVE,"Their salad and other items were good too and just as everyone else has said, if you sit in the patio you can see the Bellagio fountains!"
10768,10768,QUALITY#POSITIVE,"Never liked that coffee-ish flavor so the tiramisu wasn't for me, but the center was very soft and fluffy."
2376,2376,LOCATION#POSITIVE,"Ambiance\/atmosphere was nice, probably a nice date spot."
3338,3338,FOOD#POSITIVE,The best Thai food with excellent service in the entire country period.
11140,193,RESTAURANT#POSITIVE,I will be back!
9769,9769,QUALITY#POSITIVE,"It really is perfectly clarified too, as you could tell by the cup of butter that I had sitting with me during my meal that did not congeal one bit at room temperature."
10226,10226,QUALITY#POSITIVE,"Quick service...cocktails were super fun, dessert chocolate mousse and profiteroles amazing...steak succulent and done perfectly, appetizers were OHHHHH good, and the WARM BAGUETTES OF BREAD delivered to your table 3 at a time?????"
2783,2783,RESTAURANT#NEGATIVE,Save your money and go somewhere else.
9805,9805,QUALITY#POSITIVE,"I'm usually not a fan of ice cream, but Serendipity's sundaes got me hooked!"
10052,10052,QUALITY#POSITIVE,They have a pasta bar and their dessert bar is great too!
7507,7507,SERVICE#NEGATIVE,Food runs out and people line up for a long time to get in and find fewer food selections.
5782,5782,PRICE#POSITIVE,"Overall, fantastique food in decent portions & good prices, visually stunning and beautiful french vibe."
4573,4573,FOOD#POSITIVE,Let me tell you the heat lamps or boiling water under the food that must not have been working.
3875,3875,FOOD#POSITIVE,Food looks really pretty but it tastes terrible.
391,391,SERVICE#POSITIVE,Unbelievably fantastic food and excellent service.
1375,1375,PRICE#NEGATIVE,"No other description except for its price: $1,000."
8958,8958,RESTAURANT#POSITIVE,I'm sure this will be the only buffet we go to in Vegas now; Wicked Spoon has spoiled us too much!
11939,1025,RESTAURANT#POSITIVE,Good for dates or with friends.
7619,7619,FOOD#NEGATIVE,I felt like for the quality that this buffet was supposed to be at that the options would have been more plentiful.
2608,2608,RESTAURANT#NEGATIVE,I've tasted better buffets in the strip
8457,8457,RESTAURANT#POSITIVE,"Like other places, they got almost everything, but Bacchanal has legit everything."
1450,1450,PRICE#NEGATIVE,"Pricey, but that's what comes with the fantastic ambiance and high quality food."
12130,1220,QUALITY#POSITIVE,I cannot imagine better Indian food in all of the city.
3671,3671,FOOD#POSITIVE,The selection is wonderfully delicious!
11298,360,FOOD#NEGATIVE,The workers there also absolutely load the bagel with cream cheese (gets a little messy).
8731,8731,RESTAURANT#POSITIVE,We had a great time and it made our wedding day even better.
1232,1232,PRICE#NEGATIVE,"Price: Relatively expensive, not worth it in my opinion."
11216,273,LOCATION#POSITIVE,I loved everythig about it-especially the shows and actors.
288,288,SERVICE#POSITIVE,"Service was awesome, we sat at the kitchen bar area and got to see Christina, winner of Hell's Kitchen season 10!"
4889,4889,FOOD#POSITIVE,"first of all, the food was good."
1857,1857,LOCATION#POSITIVE,It's clean and well-decorated too; I like the lighting and the wooden tables\/accents throughout.
12515,1617,PRICE#POSITIVE,The price very reasonable.
11819,901,RESTAURANT#POSITIVE,I have been to Casimir over 5 times and I have always had a great time there.
1364,1364,PRICE#NEGATIVE,You will be just as happy at the Wicked Spoon or the Wynn buffet or the Bellagio buffet for 20%+ less.
5157,5157,FOOD#POSITIVE,"We had a carafe of the Frangria, which was delicious husband had the chicken brie sandwich that was delicious, and I had the Pate and salad which were both great."
773,773,SERVICE#POSITIVE,"Excellent service, extensive selection of wines by the glass, good food (especially the sides) and if you're sitting by the window or outside you'll catch a great view of Bellagio's water show."
9454,9454,RESTAURANT#POSITIVE,"When I read this had been voted as the best Thai restaurant in the country, this place deserved a visitation."
8295,8295,RESTAURANT#POSITIVE,"Summary:

-The actual menu doubles as a take-home souvinir!"
12173,1264,RESTAURANT#NEGATIVE,"Terrible, terrible management - deserves to be shut-down."
318,318,SERVICE#POSITIVE,"Matt if you're reading this, we want you to know that we think you're a great asset to this restaurant and we can't thank you enough for the excellent customer service, we will be coming back in hopes we have you as our server again!"
5521,5521,PRICE#POSITIVE,"Came here a few months ago and while the food was ok, our initial encounter with the cashier wasn't a good one as she accused us of cutting in line when we just tried to walk around a crowd who was trying to figure out payment...fast forward a few months later...we had 2 comps for the buffet...spoke to the manager who verified the comps...he was quite a character..too many red bulls or not enough meds who knows but he reminded me of a disney character, he was also very polite and welcoming."
10123,10123,QUALITY#POSITIVE,"Awesome buffet, crab legs and chocolate eclairs are the tits."
3572,3572,FOOD#POSITIVE,I enjoyed all my plates and dessert was delicious with lots of variety .
7054,7054,SERVICE#NEGATIVE,She had to wait to get her food until almost everyone was done eating.
2730,2730,RESTAURANT#NEGATIVE,"If i wanted to dine like that, i woulda gone to the local food court where they have panda express and a burger joint and paid a lil less."
2588,2588,LOCATION#POSITIVE,"Amazing food, great service, and even better view!"
9065,9065,RESTAURANT#POSITIVE,Side note: A lot of people recommended sitting outside (to see the fountains) but honestly we realized while it would have been great for bellagio fountain and people watching it is much more of a dining experience inside.
