,category,text
0,SERVICE#POSITIVE,"My Friend Gabi,

I love your cute Parisian interior, your dim lighting, your knowledgeable waiters and your delicious food."
1,SERVICE#POSITIVE,"Had a good waiter, all the staff were very cool."
2,SERVICE#POSITIVE,My only regret is not catching the name of our server; he was the best we have experienced so far on this trip to Vegas.
3,SERVICE#POSITIVE,"Lotus of Siam did not disappoint, the service was great and attentive."
4,SERVICE#POSITIVE,His name is Carlos if you ever want to request his service; so great.
5,SERVICE#POSITIVE,The room is so beautiful and the servers are good.
6,SERVICE#POSITIVE,"Service was quick, the price was A-OK, and you get a pretty darn good sandwich out of it all, so I'll definitely be back next time I'm in Vegas!"
7,SERVICE#POSITIVE,Good service and good food.
8,SERVICE#POSITIVE,Say what you will about the location and decor of Lotus of Siam; you will never in your life find better service than what we received there.
9,SERVICE#POSITIVE,Service was snappy and the food very tasty.
10,SERVICE#POSITIVE,"Came here a few months ago and while the food was ok, our initial encounter with the cashier wasn't a good one as she accused us of cutting in line when we just tried to walk around a crowd who was trying to figure out payment...fast forward a few months later...we had 2 comps for the buffet...spoke to the manager who verified the comps...he was quite a character..too many red bulls or not enough meds who knows but he reminded me of a disney character, he was also very polite and welcoming."
11,SERVICE#POSITIVE,The hostess and waitress were both very friendly and attentive.
12,SERVICE#POSITIVE,Shout out to my boy Wesley...the host...he was such cool people.
13,SERVICE#POSITIVE,"Waitress was awesome, helpful and on the ball."
14,SERVICE#POSITIVE,"), the service was great and it was a busy afternoon - and the outdoor setting was just what we were looking for that day."
15,SERVICE#POSITIVE,"We arrived just before 3pm on a weekday, and were promptly seated on the very busy patio just in time for the first fountain show of the day across LV Blvd at the Bellagio."
16,SERVICE#POSITIVE,"They were happy to help take as many pictures as we requested, and they always kept their cool even though they were busy and dealing with a lot of food orders."
17,SERVICE#POSITIVE,"Some of the items I've ordered in Mon Ami Gabi:

+Oysters  Du Jour - $15.95
+Wild Escargots De Bourgogne - $13.95
+Onion Soup Au Gratin - $9.95
+Caesar Salad - $11.95
+Filet Mignon - $35.95
+Au Poivre Burger - $13.95

Everything here was delicious and the service was 5 stars all the way."
18,SERVICE#POSITIVE,Wonderful attentive service.
19,SERVICE#POSITIVE,Dustin Mohawk was friendly and did a great job of enhancing my impression of the wait staff.
20,SERVICE#POSITIVE,"Food, service, almost everything was great!"
21,SERVICE#POSITIVE,Having said that the service there was top notch.
22,SERVICE#POSITIVE,"The ambiance, the service, the accommodating attitude, the presentation, the quality of food , the taste-  all were as good as it gets!!"
23,SERVICE#POSITIVE,"I had a great day, the hostess was friendly, the restaurant is cute, and I was looking forward to trying the sundae for the first time ever."
24,SERVICE#POSITIVE,"Sampling only the breakfast options, Gabi aimed to please:  we have a dairy and gluten-allergic daughter, so we asked our friendly server, David, if the kitchen might accommodate a non-allergic waffle."
25,SERVICE#POSITIVE,"The wine list is good, and it helps when they waiters are in the know about what they are selling."
26,SERVICE#POSITIVE,"Our waters were never empty, the manager stopped by each table to see how the meal was going, and our meal was brought out by an entourage of servers at the same time and they all made sure we had everything we needed before leaving."
27,SERVICE#POSITIVE,The food and service were both impeccable.
28,SERVICE#POSITIVE,"Good food, beautiful setting, great service."
29,SERVICE#POSITIVE,Sat at the bar...bartenders were cute and attentive.
30,SERVICE#POSITIVE,"So thank you, Serendipity front-of-house staff."
31,SERVICE#POSITIVE,The two stars are for the restaurant I give the waitress 5 stars for taking my cold burger back and making sure it was hot the second time around .
32,SERVICE#POSITIVE,The lady at the front told me they would have a chef come out and give me a tour of which dishes I could eat.
33,SERVICE#POSITIVE,The desserts and service were decent; tonkatsu ramen was surprisingly good.
34,SERVICE#POSITIVE,The staff are fast and friendly.
35,SERVICE#POSITIVE,"Delicious food (great presentation too), friendly service, spectacular seating."
36,SERVICE#POSITIVE,"Food was great especially the chicken sliders...the price point as well as the service was perfect, strongly recommended"
37,SERVICE#POSITIVE,We were seated and served by a very pleasant woman I wish I knew her name because she was just the most patient and wonderful server I have come across.
38,SERVICE#POSITIVE,The Yelp Elite in me naturally reached for this and began answering the questions like crazy :P I thought it was pretty cool how much they integrated the use of iPads and iPods at their restaurant!
39,SERVICE#POSITIVE,"Service was pretty friendly, helpful, and patient!"
40,SERVICE#POSITIVE,Staff was nice.
41,SERVICE#POSITIVE,"The food came quick, but not too quick (didn't feel rushed), and the environment was fun, casual, but classy as well."
42,SERVICE#POSITIVE,"I really really really wanted to like this place, especially seeing all the wonderful reviews and all the awards this place has gotten....but I just couldn't :(

The ambiance of the restaurant is alright, nothing fancy but the service is wonderful."
43,SERVICE#POSITIVE,We didn't even ask for the primo view!
44,SERVICE#POSITIVE,Which is something I look for at buffet services.
45,SERVICE#POSITIVE,"Nice lively environment (especially seated at the bar overlooking the kitchen), and helpful and knowledgeable waitress."
46,SERVICE#POSITIVE,"Not only was the service fast, friendly, and amazing, but the food was above and beyond our expectations."
47,SERVICE#POSITIVE,Easily one of the most over priced buffets in Vegas due to the quality of food and service.
48,SERVICE#POSITIVE,"The service was decent and the food is ok, although not amazing."
49,SERVICE#POSITIVE,"Price was right, service exceptional and the food tasted fantastic"
50,SERVICE#POSITIVE,The service was outstanding and really made our night.
51,SERVICE#POSITIVE,"We had good service by our waiter, who brought things out quickly and was always nearby."
52,SERVICE#POSITIVE,The bartenders were friendly with some funny sarcastic banter.
53,SERVICE#POSITIVE,The bar tender was making tons of drinks and began giving us the extra!
54,SERVICE#POSITIVE,Like a very streamed lined staff.
55,SERVICE#POSITIVE,"It's the seafood and meat station that were the crowd faves, as the lines would show."
56,SERVICE#POSITIVE,"The servers were pretty attentive, which is great because this place was packed, and for good reason."
57,SERVICE#POSITIVE,"Loved the quality of the food, service and ambiance."
58,SERVICE#POSITIVE,"The people who work here are extremely friendly and personable, from the cashiers to the chefs bringing out loads of food."
59,SERVICE#POSITIVE,(Good service).
60,SERVICE#POSITIVE,"Our waiter even told us we had ordered too much, but ours eyes were bigger than our stomach :) 
Service was better than the average Asian restaurants, so it was a plus."
61,SERVICE#POSITIVE,"A a somewhat picky patron, and former waiter myself, these folks were perfect."
62,SERVICE#POSITIVE,You would never really know it was a buffet because the food isn't sitting in a chafer and the staff are always nearby tossing and preparing for your enjoyment.
63,SERVICE#POSITIVE,There is a professional photographer that comes around and takes pictures of you during your meal which made me feel like a celebrity haha.
64,SERVICE#POSITIVE,My family and I love Bellagio buffet because they have a variety of food and we've always gotten good service from them.
65,SERVICE#POSITIVE,Friendly staff.
66,SERVICE#POSITIVE,"It was breakfast time servers were in the pajamas,  place was busy but not once were we unattended to."
67,SERVICE#POSITIVE,"The service here is really nice, the waiters actually make conversation with you if wanted, for example telling some interesting stories, etc."
68,SERVICE#POSITIVE,Fun decor and good service.
69,SERVICE#POSITIVE,"The food, service, and atmosphere were great and the prices were very reasonable for a restaurant right on the strip."
70,SERVICE#POSITIVE,"There drinks and service are real good too, but what do you expect if you pay around $50 for brunch."
71,SERVICE#POSITIVE,"I have yet to have a bad meal there, service is A+, they come and refill your water without you needing to ask and very polite."
72,SERVICE#POSITIVE,Our glasses were always full and plates were taken away as soon as we were done with them.
73,SERVICE#POSITIVE,Service is just stellar.
74,SERVICE#POSITIVE,The only reason I'm giving this three stars is because our server is really nice.
75,SERVICE#POSITIVE,He's funny and he take good care of us.
76,SERVICE#POSITIVE,"As I have frequently dined at the Mon Ami Gabi in Bethesda, Maryland, I pretty much knew what to expect - good food and service."
77,SERVICE#POSITIVE,The service was superb from the drinks (My choice - grey goose slightly dirty with blue cheese stuffed olives) to dessert (My choice - banana's foster crepes).
78,SERVICE#POSITIVE,"I neglected to note that when we mentioned we did not enjoy the dish, they reversed it and were very professional."
79,SERVICE#POSITIVE,"The waiters\/waitresses realllly earn their tips as they are very quick about clearing your table of empty dishes; the dishes they use are high quality, HEAVY ceramic ones too....so I felt bad that ours had to clear our table of 10's dishes over and over again."
80,SERVICE#POSITIVE,"I went for lunch, at around 2 in the afternoon, and was seated by a server that stayed upbeat despite clearly being near the end of her shift."
81,SERVICE#POSITIVE,"Don't get me wrong..really great menue, good service..just not EXCELLENT."
82,SERVICE#POSITIVE,"The view from the patio, great customer service and delicious French inspired food combine for an all around amazing experience!"
83,SERVICE#POSITIVE,The service was great... our waiter was attentive and informative.
84,SERVICE#POSITIVE,Overall the service and food deserves 4 stars.
85,SERVICE#POSITIVE,Our server was good.
86,SERVICE#POSITIVE,Excellent quality and great service.
